name,_id
Doctored 500 Roisa,ObjectId(61b9f439473aaa03366261c8)
Doctored Total Osdic,ObjectId(61b9f447cb29c6279dfa2a78)
Doctored 2000,ObjectId(6209b93a0ccb72422876a9fe)
Doctored 505,ObjectId(6209b9560ccb72252976a9ff)
Doctored 1000,ObjectId(6209b965957391127c0dd153)
Doctored 3000,ObjectId(6209b98d9573916f7e0dd154)
Prevencion Salud Circulo,ObjectId(627e65156a49fa5d8ea24734)
16 Avalian,ObjectId(62af0fe9eea9ab147553613c)
57 Servicio Penitenciario Federal,ObjectId(62e857122b565c1b060ae9fe)
Accord Salud,ObjectId(6347ea09f8e10b340e64958f)
Pami,ObjectId(6399da7a05759d9233469d09)
Privamed 550,ObjectId(63b360ed9c3808b765fe2c24)
Privamed 660,ObjectId(63b361129c3808b765fe2c28)
Privamed 770,ObjectId(63b361259c3808b765fe2c37)
Privamed 440,ObjectId(63cf073f6cff5310c9407c93)
Privamed 330,ObjectId(63cf07536cff5310c9407ca9)
Privamed 200,ObjectId(63cf07696cff5310c9407cbd)
Privamed 100,ObjectId(63cf07d76cff5310c9407d0b)
Privamed 880,ObjectId(63cf07f86cff5310c9407d18)
Privamed 1000,ObjectId(63cf08086cff5310c9407d1c)
Austral Salud Hosp Unniversitario,ObjectId(63cf1acd6cff5310c9409111)
Osdel Locutores,ObjectId(63cf1ae86cff5310c9409118)
Asociacion Mutual Asis Baja,ObjectId(63cf1b446cff5310c9409179)
Osdepym Suspendida,ObjectId(63cfdfec6cff5310c94104ce)
Colegio De Escribanos,ObjectId(63d42c1e893b902a5044190e)
Federada Salud,ObjectId(63d42c37893b902a50441989)
Basa Copago,ObjectId(63fbe06e5a242cfe1855aef7)
Cemic Copago,ObjectId(63fbe0835a242cfe1855af08)
Osmiss Copago Roisa,ObjectId(63fbe0975a242cfe1855af0c)
Ospep Roisa,ObjectId(63fbe0b05a242cfe1855af23)
Doctored Premium Copago,ObjectId(63fbe1b15a242cfe1855afb2)
Doctored Global Copago,ObjectId(63fbe1c45a242cfe1855afc1)
Clero,ObjectId(63fbe1dd5a242cfe1855afcb)
Ospif Fosforo Platino,ObjectId(63fbe2505a242cfe1855b006)
Ospif Fodforo Bordo Copago,ObjectId(63fbe2625a242cfe1855b01d)
Medife Circulo 95,ObjectId(64e2c14496ec00641895112b)
Bienestar Salud Copago Roisa,ObjectId(651990161d65cd458c4cc6b5)
Ospfp Pintura Roisa,ObjectId(6566600bf06f2d76a52160cf)
Ospp Publicidad Dental Center Suspendida,ObjectId(656f3473a0aeb9d4a5dfac03)
Visitar Consulmed Copago,ObjectId(66142fb596b8be05ad8d4d8c)
Odaf,ObjectId(66142fdb96b8be05ad8d4df2)
Medife 95,ObjectId(6616a0fe3f5217d3e38aa098)
Apres Consulmed,ObjectId(6659eb04c555b9ff0e5b992b)
Omint Consulmed,ObjectId(665b7aa37e350b8150734e0e)
Dosuba Consulmed,ObjectId(66d749fc647188f127654744)
Ensalud Consulmed,ObjectId(66d74a26647188f1276547a9)
Jardineros Consulmed,ObjectId(66d74dbf647188f127655890)
Osalara Consulmed,ObjectId(66d74de9647188f1276559a4)
Osptv Sat Consulmed,ObjectId(66d74e96647188f127655cf1)
Sadaic Consulmed,ObjectId(66d74eb1647188f127655d6d)
Ostel Telefonicos Consulmed,ObjectId(66d74ec3647188f127655dc2)
Ospiqyp Quimica Y Petrolera Consulmed,ObjectId(66d751ad647188f127656a2d)
Asmepriv Consulmed,ObjectId(66d752e9647188f127656fcd)
Andar Consulmed,ObjectId(66d75327647188f1276571a0)
Visitar Consulmed,ObjectId(66d7534f647188f127657241)
Osim Consulmed,ObjectId(66d75364647188f127657284)
Medicenter Dentalcenter Suspendida,ObjectId(66d75453647188f1276575d7)
Osdop Consulmed,ObjectId(6727f7c156c00a81884ecfd4)
Igualdad Salud Roisa,ObjectId(6728051756c00a81884ee67f)
Premedic,ObjectId(68167bba2e24f577863c73c5)
Premedic 100,ObjectId(68167cee2e24f577863c742a)
Premedic 200,ObjectId(68167cfa2e24f577863c742f)
Premedic 300,ObjectId(68167d062e24f577863c7434)
Premedic 400 500,ObjectId(68167d152e24f577863c7439)
Salud 360 Redsom,ObjectId(68167d832e24f577863c7453)
Saber Salud Redsom Copago,ObjectId(6840cdb3f3e77300ca4efa15)
68 A Osblyca Cueros Y Anexos,ObjectId(6840cdc5f3e77300ca4efa3f)
Privamed 880 Exento,ObjectId(68519482d19f3edcf5282fe9)
Privamed 880 Grav,ObjectId(685194a5d19f3edcf528300b)
97 Medicus,ObjectId(688a833890e3b28190449e7b)
95 Medife,ObjectId(688a835590e3b28190449ead)
55 Amffa Mutualistas Farmaceuticos,ObjectId(68ab308a91517f7f98a22419)
